datetime,ticker,open,close,high,low,volume
04/07/1994,BB  4,17.0,17.2,17.3,17.0,1055643.6
04/07/1994,CTL 4,21.0,21.0,21.82,20.01,1305017.3
04/07/1994,CTN 4,226.55,226.55,226.55,226.55,634340.0
04/07/1994,ELE 3,210.0,208.0,216.0,208.0,2265390.0
04/07/1994,ELE 6,210.0,207.99,217.0,206.0,4398228.0
04/07/1994,PET 4,94.0,96.5,98.5,93.5,7479814.3
04/07/1994,SCO 4,860.0,860.0,862.5,860.0,592430.0
04/07/1994,TEL 3,28.0,27.5,28.5,27.0,1094322.0
04/07/1994,TEL 4,37.8,38.0,40.0,36.5,38834774.0
04/07/1994,VAL 4,95.0,93.0,98.0,93.0,1069805.5
05/07/1994,BBD 4,5.1,4.8,5.1,4.55,823286.1
05/07/1994,BB  4,17.11,18.29,18.3,17.11,775302.5
05/07/1994,CAB 4,192.0,191.5,192.0,190.0,574100.0
05/07/1994,CMI 4,64.0,66.0,68.0,62.0,789385.2
05/07/1994,CTL 4,20.7,20.7,20.75,20.7,1404108.8
05/07/1994,ELE 3,198.0,205.0,205.0,198.0,3233288.5
05/07/1994,ELE 6,200.0,205.0,205.0,198.0,4461417.0
05/07/1994,ITA 4,170.0,170.0,170.0,165.0,762444.8
05/07/1994,LAM 4,25.01,25.5,25.5,25.01,1074195.4
05/07/1994,MES 4,194.0,214.0,215.0,194.0,624627.0
05/07/1994,PET 4,96.0,100.0,100.2,93.0,10679203.8
05/07/1994,SCO 4,870.0,860.0,870.0,857.5,530450.0
05/07/1994,CSN 3,25.5,26.2,26.2,25.0,1003793.0
05/07/1994,TEL 3,27.5,27.0,27.5,26.1,735538.0
05/07/1994,TEL 4,38.5,37.8,38.5,36.8,47881013.0
05/07/1994,TLS 4,290.0,295.0,300.0,285.0,1517148.0
05/07/1994,USI 4,1.0,0.99,1.02,0.98,683883.0
05/07/1994,VAL 4,91.0,89.0,91.0,88.58,3268510.1
05/07/1994,VGA 4,90.0,90.0,90.0,90.0,900000.0
06/07/1994,BBD 4,4.8,5.3,5.3,4.8,1089905.7
06/07/1994,BB  4,19.0,20.0,21.0,19.0,2268034.0
06/07/1994,CMI 4,69.99,66.5,71.5,65.0,3123908.7
06/07/1994,DUR 4,41.99,42.29,42.6,41.75,1213448.8
06/07/1994,ELE 3,208.0,215.0,220.0,208.0,7753346.8
06/07/1994,ELE 6,208.0,216.0,220.0,207.0,12082322.0
06/07/1994,LIG 3,226.0,250.0,250.0,226.0,942164.0
06/07/1994,PET 4,102.0,111.0,111.0,101.0,24030234.7
06/07/1994,BRD 4,32.0,32.01,33.5,32.0,1465150.6
06/07/1994,SCO 4,860.01,870.0,871.0,860.01,1481818.74
06/07/1994,CSN 3,27.0,27.48,28.0,27.0,1357682.0
06/07/1994,TEL 3,27.0,28.5,28.98,27.0,2185744.0
06/07/1994,TEL 4,39.0,39.9,40.4,38.01,94703118.0
06/07/1994,TLS 3,215.0,215.0,220.0,210.0,959457.6
