datetime,ticker,open,close,high,low,volume
21/07/1994,CBT 4,0.11,0.11,0.11,0.11,0.11
15/07/1994,CII 4,0.18,0.18,0.18,0.18,0.18
20/07/1994,CII 4,0.19,0.19,0.19,0.19,0.19
27/07/1994,PMT 4,0.42,0.42,0.42,0.42,0.42
21/07/1994,CII 4,0.45,0.45,0.45,0.45,0.45
22/07/1994,MAT 3,0.52,0.52,0.52,0.52,0.52
25/07/1994,PPS 4,0.14,0.14,0.14,0.14,0.56
21/07/1994,BLP 4,0.72,0.72,0.72,0.72,0.72
18/07/1994,PMT 4,0.4,0.4,0.4,0.4,0.8
21/07/1994,BEG 4,0.01,0.01,0.01,0.01,1.0
14/07/1994,VTE 3,0.02,0.02,0.02,0.02,1.0
15/07/1994,CQU 6,1.07,1.07,1.07,1.07,1.07
13/07/1994,CSI 3,1390.0,1390.0,1390.0,1390.0,1.39
06/07/1994,CLD 4,1.5,1.5,1.5,1.5,1.5
22/07/1994,FBM 4,1.65,1.65,1.65,1.65,1.65
07/07/1994,COR 4,0.99,0.99,0.99,0.99,1.98
25/07/1994,PMT 4,0.42,0.42,0.42,0.42,2.1
25/07/1994,VEM 4,3.2,3.2,3.2,3.2,3.2
19/07/1994,FBM 4,1.65,1.65,1.65,1.65,3.3
20/07/1994,VLJ 6,0.11,0.11,0.11,0.11,3.3
27/07/1994,VEM 4,3.4,3.4,3.4,3.4,3.4
25/07/1994,MAT 3,0.6,0.6,0.6,0.6,3.6
26/07/1994,AGR 4,3.9,3.9,3.9,3.9,3.9
22/07/1994,EBE 4,0.04,0.04,0.04,0.04,4.0
11/07/1994,ELB 4,2.0,2.0,2.0,2.0,4.0
05/07/1994,CRU 3,5390.0,5390.0,5390.0,5390.0,5.39
13/07/1994,BNB 3,5.45,5.45,5.45,5.45,5.45
21/07/1994,BNB 3,5.45,5.45,5.45,5.45,5.45
06/07/1994,BNB 3,5.8,5.8,5.8,5.8,5.8
21/07/1994,BNB 4,5.8,5.8,5.8,5.8,5.8
22/07/1994,BAP 6,1.5,1.5,1.5,1.5,6.0
07/07/1994,ENE 3,6.0,6.0,6.0,6.0,6.0
05/07/1994,MAT 3,0.6,0.61,0.61,0.6,6.05
20/07/1994,ATE 4,6.8,6.8,6.8,6.8,6.8
06/07/1994,BNB 4,6.8,6.8,6.8,6.8,6.8
06/07/1994,PAI 4,6.9,6.9,6.9,6.9,6.9
11/07/1994,PAI 4,6.99,6.99,6.99,6.99,6.99
11/07/1994,VTE 4,0.07,0.07,0.07,0.07,7.0
12/07/1994,VTE 4,0.07,0.07,0.07,0.07,7.0
13/07/1994,VTE 4,0.07,0.07,0.07,0.07,7.0
14/07/1994,VTE 4,0.07,0.07,0.07,0.07,7.0
15/07/1994,VTE 4,0.07,0.07,0.07,0.07,7.0
18/07/1994,VTE 4,0.07,0.07,0.07,0.07,7.0
19/07/1994,VTE 4,0.07,0.07,0.07,0.07,7.0
20/07/1994,VTE 4,0.07,0.07,0.07,0.07,7.0
21/07/1994,VTE 4,0.07,0.07,0.07,0.07,7.0
25/07/1994,BNB 4,7.2,7.2,7.2,7.2,7.2
12/07/1994,VAC 4,0.15,0.15,0.15,0.15,7.35
26/07/1994,ARL 4,0.09,0.09,0.09,0.09,7.92
27/07/1994,BSC 5,2.0,2.0,2.0,2.0,8.0
22/07/1994,VTE 4,0.08,0.08,0.08,0.08,8.0
25/07/1994,VTE 4,0.08,0.08,0.08,0.08,8.0
11/07/1994,FGO 3,4.4,4.4,4.4,4.4,8.8
19/07/1994,MDD 4,9.0,9.0,9.0,9.0,9.0
26/07/1994,VTE 4,0.09,0.09,0.09,0.09,9.0
14/07/1994,LNM 4,4.6,4.6,4.6,4.6,9.2
20/07/1994,BEG 4,0.01,0.01,0.01,0.01,10.0
20/07/1994,CCT 4,10.0,10.0,10.0,10.0,10.0
22/07/1994,LAE 4,2.2,2.2,2.2,2.2,11.0
27/07/1994,BSC 6,2.0,2.0,2.0,2.0,12.0
04/07/1994,ENE 7,12.0,12.0,12.0,12.0,12.0
22/07/1994,LAR 4,6.0,6.0,6.0,6.0,12.0
12/07/1994,SIM 4,0.12,0.12,0.12,0.12,12.0
07/07/1994,VTE 4,0.06,0.06,0.06,0.06,12.0
20/07/1994,ILM 4,12.36,12.36,12.36,12.36,12.36
14/07/1994,CQU 6,1.06,1.06,1.06,1.06,12.72
13/07/1994,LNM 4,4.3,4.3,4.3,4.3,12.9
14/07/1994,COR 4,0.9,0.9,0.9,0.9,13.5
05/07/1994,PMT 4,0.42,0.42,0.42,0.42,13.86
29/07/1994,BAP 6,1.4,1.4,1.4,1.4,14.0
21/07/1994,ANO 5,15.0,15.0,15.0,15.0,15.0
20/07/1994,IVT 4,5.0,5.0,5.0,5.0,15.0
28/07/1994,VAC 4,0.15,0.15,0.15,0.15,15.0
13/07/1994,VAC 4,0.16,0.16,0.16,0.16,16.0
29/07/1994,VTE 4,0.08,0.08,0.08,0.08,16.0
27/07/1994,FBM 4,1.65,1.65,1.65,1.65,16.5
12/07/1994,IBR 4,3.3,3.3,3.3,3.3,16.5
28/07/1994,GIA 4,17.0,17.0,17.0,17.0,17.0
15/07/1994,BUE 4,8.99,8.99,8.99,8.99,17.98
26/07/1994,SPG 4,9.1,9.1,9.1,9.1,18.2
19/07/1994,MNP 4,0.19,0.19,0.19,0.19,19.0
06/07/1994,CQU 5,1.5,1.5,1.5,1.5,19.5
19/07/1994,EBE 4,0.04,0.04,0.04,0.04,20.0
21/07/1994,TMG 5,20.01,20.01,20.01,20.01,20.01
13/07/1994,TRB 3,7000.0,7000.0,7000.0,7000.0,21.0
22/07/1994,ELC 6,1.9,1.9,1.9,1.9,22.8
12/07/1994,LNM 4,3.8,3.8,3.8,3.8,22.8
26/07/1994,UNI 3,2.3,2.3,2.3,2.3,23.0
18/07/1994,CSI 3,1200.0,1200.0,1200.0,1200.0,24.0
22/07/1994,ELC 5,2.01,2.01,2.01,2.01,24.12
04/07/1994,TMG 6,24.5,24.5,24.5,24.5,24.5
22/07/1994,BSC 6,2.5,2.5,2.5,2.5,25.0
21/07/1994,MUL 4,25.01,25.01,25.01,25.01,25.01
26/07/1994,MUL 4,25.1,25.1,25.1,25.1,25.1
08/07/1994,TMG 8,25.99,25.99,25.99,25.99,25.99
05/07/1994,QGN 4,1.75,1.75,1.75,1.75,26.25
25/07/1994,BEG 4,0.01,0.02,0.02,0.01,27.0
21/07/1994,UNI 5,2.7,2.7,2.7,2.7,27.0
28/07/1994,UNI 5,2.7,2.7,2.7,2.7,27.0
28/07/1994,DOC 4,28.0,28.0,28.0,28.0,28.0
07/07/1994,ELU 4,14.0,14.0,14.0,14.0,28.0
11/07/1994,ZIV 4,0.59,0.59,0.59,0.59,29.5
26/07/1994,FBM 4,1.65,1.65,1.65,1.65,29.7
04/07/1994,BEG 4,0.02,0.02,0.02,0.02,30.0
20/07/1994,BMI 4,30.0,30.0,30.0,30.0,30.0
12/07/1994,ELU 4,15.0,15.0,15.0,15.0,30.0
25/07/1994,MGE 4,3.0,3.0,3.0,3.0,30.0
27/07/1994,TMG 3,30.1,30.1,30.1,30.1,30.1
06/07/1994,PTQ 4,31.0,31.0,31.0,31.0,31.0
28/07/1994,LAE 4,3.15,3.15,3.15,3.15,31.5
29/07/1994,ITP 4,32.0,32.0,32.0,32.0,32.0
06/07/1994,MEN 5,16.0,16.0,16.0,16.0,32.0
